nms_poller_engine  | 2026-03-27 01:44:36,003 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.68ms
nms_poller_engine  | 2026-03-27 01:44:36,015 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.72ms
nms_poller_engine  | 2026-03-27 01:44:37,018 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:44:37,023 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.08ms
nms_poller_engine  | 2026-03-27 01:44:37,027 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.53ms
nms_poller_engine  | 2026-03-27 01:44:37,032 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.73ms
nms_poller_engine  | 2026-03-27 01:44:54,101 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:45:25,095 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:45:25,124 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=15.3ms
nms_poller_engine  | 2026-03-27 01:45:25,127 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.55ms
nms_poller_engine  | 2026-03-27 01:45:25,138 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.9ms
nms_poller_engine  | 2026-03-27 01:45:25,142 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.71ms
nms_poller_engine  | 2026-03-27 01:45:25,153 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.99ms
nms_poller_engine  | 2026-03-27 01:45:26,155 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:45:26,162 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.37ms
nms_poller_engine  | 2026-03-27 01:45:26,166 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.73ms
